test_time,cycle,current,voltage                                                                                                                  
4370.331,1,0.74,3.683
4371.331,1,0.74,3.683                                                                                                                            
4372.331,1,0.74,3.684                                                                                                                            
4373.331,1,0.74,3.684                                                                                                                            
4374.331,1,0.74,3.684                                                                                                                            
4374.331,1,0.74,3.685                                                                                                                            
4376.331,1,0.74,3.685                                                                                                                            
4377.331,1,0.74,3.686                                                                                                                            
4378.331,1,0.74,3.686                                                                                                                            
4379.331,1,0.74,3.686                                                                                                                            
4380.331,1,0.74,3.687                                                                                                                            
4381.331,1,0.74,3.687                                                                                                                            
4382.331,1,0.74,3.688                                                                                                                            
4383.331,1,0.74,3.688                                                                                                                            
4384.331,1,0.74,3.689                                                                                                                            
4385.331,1,0.74,3.689                                                                                                                            
4386.331,1,0.74,3.689                                                                                                                            
4387.331,1,0.74,3.69                                                                                                                             
4388.331,1,0.74,3.69                                                                                                                             
4389.331,1,0.74,3.691                                                                                                                            
4390.331,1,0.74,3.691                                                                                                                            
4391.331,1,0.74,3.692                                                                                                                            
4392.331,1,0.74,3.692                                                                                                                            
4393.331,1,0.74,3.693                                                                                                                            
4394.331,1,0.74,3.693                                                                                                                            
4395.331,1,0.74,3.693                                                                                                                            
4396.331,1,0.74,3.694                                                                                                                            
4397.331,1,0.74,3.694                                                                                                                            
4398.331,1,0.74,3.695                                                                                                                            
4399.331,1,0.74,3.695                                                                                                                            
4400.331,1,0.74,3.695                                                                                                                            
4401.331,1,0.74,3.695                                                                                                                            
4402.331,1,0.74,3.696                                                                                                                            
4403.331,1,0.74,3.697                                                                                                                            
4404.331,1,0.74,3.697                                                                                                                            
4405.331,1,0.74,3.697                                                                                                                            
4406.331,1,0.74,3.698                                                                                                                            
4407.331,1,0.74,3.698                                                                                                                            
4408.331,1,0.74,3.698                                                                                                                            
4409.331,1,0.74,3.699                                                                                                                            
4410.331,1,0.74,3.699                                                                                                                            
4411.331,1,0.74,3.7                                                                                                                              
4412.331,1,0.74,3.7                                                                                                                              
4413.331,1,0.74,3.701                                                                                                                            
4414.331,1,0.74,3.701                                                                                                                            
4415.331,1,0.74,3.701                                                                                                                            
4416.331,1,0.74,3.702                                                                                                                            
4417.331,1,0.74,3.702                                                                                                                            
4418.331,1,0.74,3.703                                                                                                                            
4419.331,1,0.74,3.703                                                                                                                            
4420.331,1,0.74,3.704                                                                                                                            
4421.331,1,0.74,3.704                                                                                                                            
4422.331,1,0.74,3.704                                                                                                                            
4423.331,1,0.74,3.705                                                                                                                            
4424.331,1,0.74,3.705                                                                                                                            
4425.331,1,0.74,3.705                                                                                                                            
4426.331,1,0.74,3.706                                                                                                                            
4427.331,1,0.74,3.706                                                                                                                            
4428.331,1,0.74,3.707                                                                                                                            
4429.331,1,0.74,3.707                                                                                                                            
4430.331,1,0.74,3.708                                                                                                                            
4431.331,1,0.74,3.708                                                                                                                            
4432.331,1,0.74,3.708                                                                                                                            
4433.331,1,0.74,3.709                                                                                                                            
4434.331,1,0.74,3.709                                                                                                                            
4435.331,1,0.74,3.71                                                                                                                             
4436.331,1,0.74,3.71                                                                                                                             
4437.331,1,0.74,3.71                                                                                                                             
4438.331,1,0.74,3.711                                                                                                                            
4439.331,1,0.74,3.711                                                                                                                            
4440.331,1,0.74,3.712                                                                                                                            
4441.331,1,0.74,3.712                                                                                                                            
4442.331,1,0.74,3.712                                                                                                                            
4443.331,1,0.74,3.713                                                                                                                            
4444.331,1,0.74,3.713                                                                                                                            
4445.331,1,0.74,3.713                                                                                                                            
4446.331,1,0.74,3.714                                                                                                                            
4447.331,1,0.74,3.714                                                                                                                            
4448.331,1,0.74,3.715                                                                                                                            
4449.331,1,0.74,3.715                                                                                                                            
4450.331,1,0.74,3.716                                                                                                                            
4451.331,1,0.74,3.716                                                                                                                            
4452.331,1,0.74,3.716                                                                                                                            
4453.331,1,0.74,3.717                                                                                                                            
4454.331,1,0.74,3.717                                                                                                                            
4455.331,1,0.74,3.718                                                                                                                            
4456.331,1,0.74,3.718                                                                                                                            
4457.331,1,0.74,3.718                                                                                                                            
4458.331,1,0.74,3.719                                                                                                                            
4459.331,1,0.74,3.719                                                                                                                            
4460.331,1,0.74,3.72                                                                                                                             
4461.331,1,0.74,3.72                                                                                                                             
4462.331,1,0.74,3.72                                                                                                                             
4463.331,1,0.74,3.721                                                                                                                            
4464.331,1,0.74,3.721                                                                                                                            
4465.331,1,0.74,3.721                                                                                                                            
4466.331,1,0.74,3.722                                                                                                                            
4467.331,1,0.74,3.722                                                                                                                            
4468.331,1,0.74,3.723                                                                                                                            
4469.331,1,0.74,3.723                                                                                                                            
4470.331,1,0.74,3.723                                                                                                                            
4471.331,1,0.74,3.724                                                                                                                            
4472.331,1,0.74,3.724                                                                                                                            
4473.331,1,0.74,3.724                                                                                                                            
